ID,vreme,domaci,gosti,1,X2
Volcano567,2025-07-08 19:00:00,Drita,Differdange 03,1.71,2.15
Pinbet7,2025-07-08 19:00:00,Drita,Differdange,1.71,2.1
Topbet0,2025-07-08 19:00:00,KF Drita,FC Differdange 03,1.58,2.21
Mozzart0,2025-07-08 19:00:00,Drita Gjilan,Differdange,1.58,2.22
Superbet1,2025-07-08 19:00:00,Drita,Differdange 03,1.44,2.57
Soccer0,2025-07-08 19:00:00,Drita,Differdange,1.62,2.23
Mystake734,2025-07-08 19:00:00,KF Drita, Differdange 03,1.6,2.38
Balkan0,2025-07-08 19:00:00,KF Drita,FC Differdange 03,1.57,2.35
Oktagon0,2025-07-08 19:00:00,Drita,Differdange,1.68,2.1
Betole0,2025-07-08 19:00:00,Drita,Differdange,1.7,2.05
