ID,vreme,domaci,gosti,G II 0-1,G II 2+
Planetwin0,2025-06-25 13:00:00,Chengdu Ron.,Shenzhen Xinpengcheng,1.0,14.0
Mystake555,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Peng City,1.0,1.0
Volcano629,2025-06-25 13:00:00,Chengdu Qianbao,Shenzhen Peng City,1.0,1.0
Pinbet2,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Xinpengcheng,1.0,1.0
Oktagon0,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Xinpengcheng,1.0,14.0
Topbet0,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Peng City,1.0,22.0
Mozzart0,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen PC,1.05,8.0
Balkan0,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Peng City,1.0,8.9
Betole1,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Xinpengcheng,1.0,14.0
Soccer1,2025-06-25 13:00:00,Chengdu Rongcheng,Shenzhen Peng City,1.0,17.1
