ID,vreme,domaci,gosti,ug 0-3,ug 4+
Superbet20,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Mystake656,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
Mozzart27,2025-07-08 19:30:00,Stamford,Peterborough,2.25,1.5
Balkan26,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.2,1.6
Soccer31,2025-07-08 19:30:00,Stamford,Peterborough,2.22,1.58
Volcano226,2025-07-08 19:30:00,Stamford,Peterborough Utd.,1.0,1.0
Topbet24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,1.74,1.94
Betole17,2025-07-08 19:30:00,Stamford,Peterborough,2.15,1.6
Oktagon16,2025-07-08 19:30:00,Stamford,Peterborough,2.18,1.59
Pinbet29,2025-07-08 19:30:00,Stamford,Peterborough,2.2,1.57
