ID,vreme,domaci,gosti,1X,2
Superbet1,2025-07-17 18:30:00,Koper,Željezničar,1.21,4.0
Betole1,2025-07-17 18:30:00,Koper,Zeljeznicar,1.19,4.1
Mozzart0,2025-07-17 18:30:00,Koper,Zeljeznicar,1.23,4.2
Merkur1,2025-07-17 18:30:00,Koper,Zeljeznicar,1.12,5.4
Soccer1,2025-07-17 18:30:00,Koper,Zeljeznicar,1.21,4.25
Pinbet1,2025-07-17 18:30:00,Koper,Zeljeznicar,1.2,4.2
Oktagon1,2025-07-17 18:30:00,Koper,Zeljeznicar,1.19,4.1
