ID,vreme,domaci,gosti,G II 0-1,G II 2+
Planetwin27,2025-06-26 00:30:00,Columbus,Atlanta Utd,1.19,4.68
Mystake326,2025-06-26 00:30:00,Columbus Crew,Atlanta United,1.0,1.0
Volcano531,2025-06-26 00:30:00,Columbus Crew,Atlanta Utd.,1.0,1.0
Topbet94,2025-06-26 00:30:00,Columbus Crew,Atlanta United FC,1.15,4.7
Pinbet90,2025-06-26 00:30:00,Columbus Crew,Atlanta Utd,1.0,1.0
Soccer99,2025-06-26 00:30:00,Columbus Crew,Atlanta Utd,1.16,4.5
Oktagon125,2025-06-26 00:30:00,Columbus Crew,Atlanta Utd,1.15,4.55
Mozzart83,2025-06-26 00:30:00,Columbus,Atlanta United,1.13,5.0
Balkan107,2025-06-26 00:30:00,Columbus Crew,Atlanta United FC,1.06,6.35
Betole125,2025-06-26 00:30:00,Columbus Crew,Atlanta Utd,1.16,4.55
