ID,vreme,domaci,gosti,GG,NG
Planetwin88,2025-07-14 02:00:00,Tucson,Stars FC,1.0,1.0
Topbet177,2025-07-14 02:00:00,FC TUCSONde,Stars FC,2.7,1.42
Volcano183,2025-07-14 02:00:00,Tucson,Stars FC,2.9,1.32
Superbet194,2025-07-14 02:00:00,Tucson,Stars FC,2.17,1.62
Mystake360,2025-07-14 02:00:00, Tucson,Stars ,1.0,1.0
Pinbet165,2025-07-14 02:00:00,Tucson,Stars FC,2.34,1.5
Balkan197,2025-07-14 02:00:00,FC TUCSONde,Stars FC,2.25,1.5
Soccer175,2025-07-14 02:00:00,FC Tucson,Stars FC,2.17,1.6
Oktagon204,2025-07-14 02:00:00,Tucson,Stars FC,2.95,1.32
Betole204,2025-07-14 02:00:00,Tucson,Stars FC,3.0,1.32
Mozzart158,2025-07-14 02:00:00,Tucson,Stars,1.0,1.0
