ID,vreme,domaci,gosti,G II 0-1,G II 2+
Mozzart56,2025-07-06 09:00:00,Olympic B.,Gold Coust Knights,1.22,3.4
Betole72,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Oktagon73,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.37,2.75
Balkan66,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.0,1.0
Topbet59,2025-07-06 09:00:00,Olympic FC Brisbane,Gold Coast Knights,1.42,2.7
Pinbet66,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.0,1.0
Mystake394,2025-07-06 09:00:00,Olympic  Brisbane,Gold Coast Knights,1.0,1.0
Planetwin61,2025-07-06 09:00:00,Olympic FC,Gold Coast Kn.,1.0,1.0
Superbet88,2025-07-06 09:00:00,Olympic FC,Gold Coast Knights,1.0,1.0
Soccer64,2025-07-06 09:00:00,Brisbane Olympic FC,Gold Coast Knights,1.4,2.65
Volcano279,2025-07-06 09:00:00,Olympic,Gold Coast Knights,1.0,1.0
