ID,vreme,domaci,gosti,1&3+,ne1&3+
Balkan8,2025-07-10 19:30:00,FK Vardar Skopje,SP La Fiorita,1.75,1.0
Soccer8,2025-07-10 19:30:00,Vardar,La Fiorita,1.58,1.0
Oktagon8,2025-07-10 19:30:00,Vardar,La Fiorita,1.47,1.0
Mozzart8,2025-07-10 19:30:00,Vardar,La Fiorita,1.55,2.29
Topbet8,2025-07-10 19:30:00,FK Vardar Skopje,SP La Fiorita,1.58,1.0
Betole8,2025-07-10 19:30:00,Vardar,La Fiorita,1.47,2.45
Mystake813,2025-07-10 19:30:00,FK Vardar Skopje,SP La Fiorita,1.0,1.0
Superbet9,2025-07-10 19:30:00,Vardar Skopje,La Fiorita,1.0,1.0
Pinbet7,2025-07-10 19:30:00,Vardar,La Fiorita,1.0,1.0
Volcano531,2025-07-10 19:30:00,Vardar,SP La Fiorita,1.0,1.0
