ID,vreme,domaci,gosti,1,1-X2,X2-X2
Balkan116,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.5,1.0,1.0
Mystake128,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.5,1.0,1.0
Planetwin37,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.46,1.0,1.0
Betole126,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.5,16.0,2.55
Superbet111,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.52,1.0,1.0
Soccer88,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.45,14.4,2.6
Oktagon128,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.0,1.0
Volcano776,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.49,1.0,1.0
Topbet95,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.52,19.0,2.7
Mozzart81,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.5,1.0,3.0
