ID,vreme,domaci,gosti,GG3+,ne GG3+
Superbet38,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.15,1.62
Volcano736,2025-06-26 18:30:00,Skála,B36 Torshavn 2,2.18,1.0
Balkan18,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.7,1.0
Topbet20,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,1.0,1.0
Mozzart19,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,2.2,1.0
Mystake629,2025-06-26 18:30:00,Skala IF,B36 Torshavn II,1.0,1.0
