ID,vreme,domaci,gosti,GG,NG
Betole24,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,2.0,1.67
Topbet20,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,2.25,1.58
Mozzart15,2025-07-06 12:30:00,Oldenburg,Hamburger,1.0,1.0
Mystake558,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,1.97,1.75
Oktagon24,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,1.98,1.69
Volcano397,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,1.97,1.69
Pinbet16,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,1.98,1.7
Balkan27,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,2.05,1.65
Superbet19,2025-07-06 12:30:00,VfB Oldenburg,Hamburger,1.97,1.75
Soccer23,2025-07-06 12:30:00,VfB Oldenburg,Hamburger SV,1.8,1.88
