ID,vreme,domaci,gosti,D I 0-1,D I 2+
Oktagon44,2025-06-25 18:30:00,Kriens,Baden,1.34,2.9
Pinbet36,2025-06-25 18:30:00,Kriens,Baden,1.0,1.0
Volcano328,2025-06-25 18:30:00,SC Kriens,FC Baden,1.0,1.0
Betole42,2025-06-25 18:30:00,Kriens,Baden,1.33,2.9
Soccer33,2025-06-25 18:30:00,Kriens,FC Baden,1.55,2.23
