ID,vreme,domaci,gosti,II GG,II NG
Superbet0,2025-06-26 15:00:00,Estudiantes de Merida,Real Frontera,1.0,1.0
Topbet0,2025-06-26 15:00:00,Estudiantes de Merida,Real Frontera FC,2.3,1.55
Balkan0,2025-06-26 15:00:00,Estudiantes de Merida,Real Frontera FC,2.15,1.0
Soccer0,2025-06-26 15:00:00,Estudiantes Merida,Frontera,2.9,1.35
Mozzart0,2025-06-26 15:00:00,Estudiantes De Merida,Frontera,2.6,1.38
Mystake648,2025-06-26 15:00:00,Estudiantes de Merida,Real Frontera,1.0,1.0
