ID,vreme,domaci,gosti,W1,W2
Oktagon6,2025-06-25 14:00:00,Orbit College,Cape Town City,2.15,1.6
Soccer4,2025-06-25 14:00:00,Orbit College,Cape Town City,2.0,1.58
Balkan4,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.2,1.6
Betole6,2025-06-25 14:00:00,Orbit College,Cape Town City,2.15,1.6
Pinbet0,2025-06-25 14:00:00,Orbit College,Cape Town City,2.26,1.62
Mystake639,2025-06-25 14:00:00,Orbit College ,Cape Town City,2.19,1.63
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,2.15,1.6
Planetwin0,2025-06-25 14:00:00,Orbit College,Cape Town City,2.0,1.65
Topbet6,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,2.57,1.28
Mozzart3,2025-06-25 14:00:00,Orbit College,Cape Town City FC,2.03,1.66
