ID,vreme,domaci,gosti,1,X2
Mystake577,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.75,1.48
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,2.7,1.41
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,2.7,1.41
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,3.4,1.23
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,2.69,1.43
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.7,1.4
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.75,1.43
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,2.7,1.41
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,2.6,1.43
