ID,vreme,domaci,gosti,1,X,2
Volcano455,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.25,2.95,2.15
Pinbet3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.9,3.2,1.93
Betole3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.8,3.15,1.9
Topbet2,2025-07-06,Chattanooga Red Wolves SC,One Knoxville SC,3.2,3.15,2.1
Oktagon3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.8,3.15,1.89
Mystake285,2025-07-06,Chattanooga Red Wolves,One Knoxville  ,3.3,3.1,2.1
Soccer3,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.5,2.9,2.1
Superbet10,2025-07-06,Chattanooga Red Wolves,One Knoxville,3.3,3.1,2.1
Balkan3,2025-07-06,Chattanooga Red Wolves SC,One Knoxville SC,3.25,3.15,2.05
Mozzart2,2025-07-06,Chattanooga RW,One Knoxville,2.8,3.6,2.2
