ID,vreme,domaci,gosti,W1,W2
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.0,1.0
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,2.34,1.48
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),2.91,1.33
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.05,1.61
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.0,1.0
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.25,1.42
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,2.85,1.3
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,1.0,1.0
Pinbet48,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.3,1.24
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,2.8,1.36
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,1.0,1.0
