ID,vreme,domaci,gosti,G II 0-1,G II 2+
Mozzart6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan,1.15,4.8
Soccer6,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.22,3.85
Topbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.32,3.2
Betole8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.2,3.95
Planetwin2,2025-06-26 13:00:00,Yunnan Yukun,Henan S.L.,1.21,4.03
Mystake577,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.0,1.0
Superbet6,2025-06-26 13:00:00,Yunnan Yukun,Henan FC,1.0,1.0
Oktagon8,2025-06-26 13:00:00,Yunnan Yukun,Henan Songshan Longmen,1.19,4.05
Balkan8,2025-06-26 13:00:00,Yunnan Yukun,Henan,1.15,4.15
