ID,vreme,domaci,gosti,W1,W2
Topbet147,2025-07-05 21:30:00,Ferroviario AC CE,Sousa EC PB,1.0,1.0
Superbet173,2025-07-05 21:30:00,Ferroviario CE,Sousa PB,1.34,2.77
Mystake146,2025-07-05 21:30:00,Ferroviario CE,Souza PB,1.35,2.78
Oktagon203,2025-07-05 21:30:00,Ferroviario,Sousa,1.0,1.0
Betole203,2025-07-05 21:30:00,Ferroviario,Sousa,1.42,2.55
Planetwin71,2025-07-05 21:30:00,Ferroviario,Sousa,1.2,3.82
Volcano198,2025-07-05 21:30:00,Ferroviario AC CE,Sousa EC PB,1.42,2.55
Balkan177,2025-07-05 21:30:00,Ferroviario AC CE,Sousa EC PB,1.0,1.0
Soccer160,2025-07-05 21:30:00,Ferroviario,Sousa,1.23,2.87
Mozzart133,2025-07-05 21:30:00,Ferroviario CE,Sousa PB,1.35,2.85
