ID,vreme,domaci,gosti,GG,NG
Topbet70,2025-07-13 17:00:00,Jordan,Singapore,1.0,1.0
Mystake63,2025-07-13 17:00:00,Jordan W.,Singapore W.,1.0,1.0
Volcano515,2025-07-13 17:00:00,w/Jordan,w/Singapore,4.3,1.15
Superbet75,2025-07-13 17:00:00,Jordan (W),Singapur (W),2.12,1.64
Betole76,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,5.5,1.09
Balkan79,2025-07-13 17:00:00,Jordan,Singapore,2.3,1.55
Soccer63,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,2.6,1.43
Oktagon71,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,5.35,1.1
