ID,vreme,domaci,gosti,W1,W2
Mozzart118,2025-07-06 20:00:00,Joinville ,Marcílio Dias,1.57,2.19
Volcano250,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,1.65,2.04
Planetwin65,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.6,2.13
Superbet141,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.56,2.15
Topbet125,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.0,1.0
Mystake127,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,1.57,2.16
Soccer125,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.42,2.12
Balkan151,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.0,1.0
Oktagon157,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.0,1.0
Betole157,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.88,1.77
