ID,vreme,domaci,gosti,1X,2
Mozzart115,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.06,7.25
Soccer129,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.03,7.2
Mystake133,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.11,5.95
Betole166,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.07,6.4
Volcano809,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.08,6.4
Topbet129,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.07,6.1
Planetwin45,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.08,6.35
Oktagon177,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.21,3.9
Superbet152,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.07,6.0
Balkan155,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.06,6.0
