ID,vreme,domaci,gosti,1,1-X2,X2-X2
Betole103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.6,12.5,1.33
Mystake138,2025-07-06 18:45:00,CEAC Araruama,America RJ,3.45,1.0,1.0
Topbet78,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,4.2,1.0,1.0
Pinbet78,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.85,1.0,1.0
Balkan98,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,2.85,1.0,1.0
Mozzart76,2025-07-06 18:45:00,Araruama,America RJ,3.45,1.0,1.49
Soccer82,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.45,10.7,1.37
Oktagon103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.5,1.0,1.0
Volcano491,2025-07-06 18:45:00,CEAC / Araruama,America RJ,3.6,1.0,1.0
Superbet84,2025-07-06 18:45:00,CEAC/Araruama,America RJ,3.45,1.0,1.0
