ID,vreme,domaci,gosti,W1,W2
Balkan127,2025-07-06 19:30:00,Club El Porvenir,CDM Leandro N. Alem,1.0,1.0
Oktagon140,2025-07-06 19:30:00,El Porvenir,Leandro N. Alem,1.0,1.0
Mystake434,2025-07-06 19:30:00,El Porvenir,Club Leandro N. Alem,1.49,2.32
Betole145,2025-07-06 19:30:00,El Porvenir,Leandro N. Alem,1.67,1.97
Superbet118,2025-07-06 19:30:00,El Porvenir,Leandro Niceforo Alem,1.48,2.3
Mozzart99,2025-07-06 19:30:00,El Porvenir,Leandro,1.45,2.48
Volcano355,2025-07-06 19:30:00,El Porvenir,Leandro Nicéforo Alem,1.68,2.0
Topbet102,2025-07-06 19:30:00,Club El Porvenir,CDM Leandro N. Alem,1.0,1.0
Soccer107,2025-07-06 19:30:00,El Porvenir,Leandro N. Alem,1.41,2.18
