ID,vreme,domaci,gosti,GG,NG
Pinbet11,2025-07-05 16:00:00,Petrzalka,Taborsko,1.64,2.13
Oktagon16,2025-07-05 16:00:00,Petrzalka,Taborsko,1.63,2.12
Volcano428,2025-07-05 16:00:00,Petrzalka 1898,Taborsko,1.63,2.12
Superbet4,2025-07-05 16:00:00,Petrzalka,Taborsko,1.69,2.05
Soccer15,2025-07-05 16:00:00,Petrzalka,Taborsko,1.62,2.15
Mystake724,2025-07-05 16:00:00, Petrzalka, Mas Taborsko,1.69,2.04
Betole21,2025-07-05 16:00:00,Petrzalka,Taborsko,1.65,2.1
Mozzart14,2025-07-05 16:00:00,Petrzalka,Mas Taborsko,1.37,2.65
