ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mozzart90,2025-06-26 00:30:00,Manhattan,Ironbound,1.27,3.1
Topbet112,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.5,2.45
Betole118,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
Balkan120,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.0,1.0
Soccer114,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.43,2.55
Pinbet98,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
Mystake329,2025-06-26 00:30:00,Manhattan  ,Ironbound  ,1.0,1.0
Oktagon118,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.37,2.75
Planetwin39,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
Volcano145,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.0,1.0
