ID,vreme,domaci,gosti,GG,NG
Soccer35,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.4,1.5
Mystake15,2025-06-26 19:15:00,Belgium W.,Greece W.,1.0,1.0
Pinbet25,2025-06-26 19:15:00,Belgium W,Greece W,2.61,1.41
Mozzart28,2025-06-26 19:15:00,Belgium W,Greece W,2.45,1.5
Topbet31,2025-06-26 19:15:00,Belgium,Greece,2.95,1.38
Volcano711,2025-06-26 19:15:00,w/Belgium,w/Greece,2.6,1.4
Oktagon34,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.62,1.4
Betole32,2025-06-26 19:15:00,Belgium Wom.,Greece Wom.,2.65,1.4
Balkan33,2025-06-26 19:15:00,Belgium,Greece,2.55,1.45
Planetwin9,2025-06-26 19:15:00,Belgium (W),Greece (W),3.81,1.2
