ID,vreme,domaci,gosti,GG,NG
Betole41,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,3.0,1.32
Superbet38,2025-07-13 17:00:00,Jordan (W),Singapur (W),3.55,1.25
Oktagon36,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,2.95,1.32
Balkan39,2025-07-13 17:00:00,Jordan,Singapore,2.05,1.7
Mystake62,2025-07-13 17:00:00,Jordan W.,Singapore W.,1.0,1.0
Pinbet37,2025-07-13 17:00:00,Jordan Wom.,Singapore W,4.4,1.19
Topbet37,2025-07-13 17:00:00,Jordan,Singapore,1.0,1.0
Soccer34,2025-07-13 17:00:00,Jordan Wom.,Singapore Wom.,3.55,1.25
