ID,vreme,domaci,gosti,1-1,ne 1-1
Betole129,2025-06-26 03:00:00,San Francisco City,Marin,1.72,1.0
Oktagon129,2025-06-26 03:00:00,San Francisco City,Marin,1.72,1.0
Balkan117,2025-06-26 03:00:00,San Francisco City,Marin FC Legends,1.55,1.0
Pinbet117,2025-06-26 03:00:00,San Francisco City,Marin,1.0,1.0
Soccer113,2025-06-26 03:00:00,San Francisco City,Marin,1.8,1.0
Mozzart94,2025-06-26 03:00:00,San Francisco City,Marin,1.47,2.32
Topbet107,2025-06-26 03:00:00,San Francisco City,Marin FC Legends,1.65,1.0
Mystake344,2025-06-26 03:00:00,San Francisco City,Marin  Legends,1.0,1.0
Volcano440,2025-06-26 03:00:00,San Francisco City,Marin,1.0,1.0
