ID,vreme,domaci,gosti,D II 0-1,D II 2+
Oktagon242,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.37,2.75
Balkan190,2025-06-27 20:15:00,IR Reykjavik,UMF Grindavik,1.0,2.8
Planetwin94,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.37,2.81
Maxbet172,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.38,2.8
Mystake137,2025-06-27 20:15:00,Ir Reykjavik,UMF Grindavik,1.0,1.0
Betole242,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.36,2.8
Volcano480,2025-06-27 20:15:00,IR Reykjavik,Grindavík,1.0,1.0
Topbet160,2025-06-27 20:15:00,IR Reykjavik,UMF Grindavik,1.42,2.65
Soccer178,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.42,2.55
Mozzart181,2025-06-27 20:15:00,Ir Reykjavik ,Grindavik,1.22,3.4
Superbet242,2025-06-27 20:15:00,IR Reykjavik,Grindavik,1.0,1.0
