ID,vreme,domaci,gosti,ug 0-3,ug 4+
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.02,9.75
Mystake638,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Balkan11,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.08,6.5
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,1.05,9.75
Topbet12,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.05,7.34
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.02,9.55
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,1.12,5.4
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,1.07,6.95
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,1.02,8.35
