ID,vreme,domaci,gosti,1,X,2
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,3.55,2.57,2.4
Balkan8,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,3.4,2.65,2.45
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,3.65,2.65,2.45
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,3.55,2.55,2.4
Mystake643,2025-06-25 14:00:00,Orbit College ,Cape Town City,3.35,2.8,2.45
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,3.3,2.65,2.45
Volcano411,2025-06-25 14:00:00,Orbit College FC,Cape Town City,3.55,2.55,2.4
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,3.1,3.0,2.35
Topbet9,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,3.6,2.6,2.2
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,3.57,2.4,2.55
