ID,vreme,domaci,gosti,D II 0-1,D II 2+
Pinbet91,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Betole102,2025-07-06 13:00:00,Goteborg,Sirius,1.29,3.3
Soccer97,2025-07-06 13:00:00,Goteborg,Sirius,1.31,3.15
Mystake84,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Mozzart81,2025-07-06 13:00:00,Goteborg,Sirius,1.23,3.7
Oktagon103,2025-07-06 13:00:00,IFK Goteborg,IK Sirius FK,1.27,3.35
Topbet86,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.38,3.15
Superbet112,2025-07-06 13:00:00,IFK Goteborg,Sirius,1.0,1.0
Balkan94,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.25,3.6
Volcano290,2025-07-06 13:00:00,IFK Göteborg,IK Sirius FK,1.0,1.0
