ID,vreme,domaci,gosti,1,X,2
Volcano738,2025-06-26 23:30:00,CA Tigre,Banfield,2.6,2.65,3.05
Mystake485,2025-06-26 23:30:00,CA Tigre,Banfield,2.55,2.65,3.35
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,2.65,2.55,3.15
Oktagon37,2025-06-26 23:30:00,Tigre,Banfield,2.6,2.62,2.95
Topbet33,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.2,2.6,3.6
Superbet65,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.52,2.6,3.3
Betole37,2025-06-26 23:30:00,Tigre,Banfield,2.62,2.65,3.03
Mozzart30,2025-06-26 23:30:00,Tigre,Banfield,2.35,2.7,3.45
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,2.61,2.79,3.15
Balkan32,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.9,2.55,2.9
