ID,vreme,domaci,gosti,1,X2
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,2.4,1.52
Mystake484,2025-06-26 23:30:00,CA Tigre,Banfield,2.55,1.51
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,2.4,1.5
Balkan32,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.9,1.36
Oktagon37,2025-06-26 23:30:00,Tigre,Banfield,2.28,1.5
Superbet65,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.47,1.48
Volcano738,2025-06-26 23:30:00,CA Tigre,Banfield,2.3,1.55
Topbet33,2025-06-26 23:30:00,CA Tigre,CA Banfield,2.2,1.5
Mozzart30,2025-06-26 23:30:00,Tigre,Banfield,2.35,1.51
Betole37,2025-06-26 23:30:00,Tigre,Banfield,2.3,1.53
