ID,vreme,domaci,gosti,II 0-1,II 2+
Oktagon6,2025-06-25 14:00:00,Orbit College,Cape Town City,1.26,3.45
Soccer4,2025-06-25 14:00:00,Orbit College,Cape Town City,1.28,3.3
Balkan4,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.3,3.05
Betole6,2025-06-25 14:00:00,Orbit College,Cape Town City,1.26,3.45
Pinbet0,2025-06-25 14:00:00,Orbit College,Cape Town City,1.0,1.0
Mystake639,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Planetwin0,2025-06-25 14:00:00,Orbit College,Cape Town City,1.24,3.41
Topbet6,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.3,3.35
Mozzart3,2025-06-25 14:00:00,Orbit College,Cape Town City FC,1.41,2.7
