ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mystake365,2025-06-27 12:30:00,Perth Glory ,Sorrento,1.0,1.0
Betole66,2025-06-27 12:30:00,Perth Glory U23,Sorrento FC,1.32,3.0
Oktagon66,2025-06-27 12:30:00,Perth Glory U23,Sorrento FC,1.32,3.0
Balkan60,2025-06-27 12:30:00,Perth Glory FC,Sorrento FC,1.0,1.0
Superbet107,2025-06-27 12:30:00,Perth Glory Mladi,Sorrento,1.0,1.0
Mozzart62,2025-06-27 12:30:00,Perth Glory M23,Sorrento P.,1.27,3.1
Pinbet62,2025-06-27 12:30:00,Perth Glory U23,Sorrento,1.0,1.0
Topbet60,2025-06-27 12:30:00,Perth Glory FC,Sorrento FC,1.48,2.55
Volcano416,2025-06-27 12:30:00,yt/Perth Glory FC,Sorrento,1.0,1.0
Soccer66,2025-06-27 12:30:00,Perth Glory U23,Sorrento FC,1.4,2.7
