ID,vreme,domaci,gosti,II 0-1,II 2+
Oktagon126,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.3,3.15
Planetwin40,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.19,4.04
Mozzart98,2025-07-06 20:00:00,Joinville ,Marcílio Dias,1.41,2.7
Soccer99,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.33,3.0
Superbet110,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.0,1.0
Topbet100,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.35,2.95
Volcano248,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,1.0,1.0
Mystake132,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,1.0,1.0
Betole126,2025-07-06 20:00:00,Joinville,Marcilio Dias,1.3,3.15
Balkan115,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,1.29,3.05
