ID,vreme,domaci,gosti,G II 0-1,G II 2+
Mystake536,2025-07-06 17:00:00,Riga,B Daugavpils,1.0,1.0
Pinbet105,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Superbet140,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Mozzart101,2025-07-06 17:00:00,Riga,BFC Daugavpils,1.05,8.0
Balkan105,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,11.95
Soccer115,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,14.6
Topbet100,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,22.0
Volcano618,2025-07-06 17:00:00,Riga FC,Daugavpils,1.0,1.0
Oktagon133,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,13.75
Betole135,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Planetwin90,2025-07-06 17:00:00,Riga,Daugavapils,1.0,13.7
