ID,vreme,domaci,gosti,GG,NG
Volcano470,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.7,2.0
Balkan24,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.0,1.0
Soccer21,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.85,1.85
Betole20,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.65,2.1
Topbet23,2025-06-25 13:30:00,Chitipa United,Songwe Border United FC,1.6,2.2
Oktagon20,2025-06-25 13:30:00,Chitipa United,Songwe Border,1.63,2.12
