ID,vreme,domaci,gosti,D I 0-1,D I 2+
Superbet179,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.0,1.0
Balkan101,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.23,3.2
Betole133,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.24,3.7
Topbet97,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.32,3.2
Mystake500,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.0,1.0
Oktagon133,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.18,4.15
