ID,vreme,domaci,gosti,I 0-2,I 3+
Oktagon223,2025-07-12 12:00:00,Rosenborg 2,Volda TI,1.22,3.4
Volcano553,2025-07-12 12:00:00,Rosenborg 2,Volda,1.0,1.0
Betole222,2025-07-12 12:00:00,Rosenborg 2,Volda TI,1.0,1.0
Topbet157,2025-07-12 12:00:00,Rosenborg BK 2,Volda,1.48,2.5
