ID,vreme,domaci,gosti,GG,NG
Oktagon13,2025-07-08 19:30:00,Stamford,Peterborough,2.45,1.45
Pinbet26,2025-07-08 19:30:00,Stamford,Peterborough,2.45,1.46
Mozzart14,2025-07-08 19:30:00,Stamford,Peterborough,2.2,1.52
Superbet18,2025-07-08 19:30:00,Stamford,Peterborough United,2.37,1.52
Soccer28,2025-07-08 19:30:00,Stamford,Peterborough,2.22,1.58
Topbet22,2025-07-08 19:30:00,Stamford AFC,Peterborough United,3.2,1.32
Volcano224,2025-07-08 19:30:00,Stamford,Peterborough Utd.,2.45,1.45
Balkan24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.4,1.45
Betole14,2025-07-08 19:30:00,Stamford,Peterborough,2.5,1.45
Mystake655,2025-07-08 19:30:00,Stamford,Peterborough United,2.37,1.52
