ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mystake138,2025-07-06 18:45:00,CEAC Araruama,America RJ,1.0,1.0
Betole103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,11.5
Topbet78,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,1.0,17.0
Oktagon103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,11.2
Pinbet78,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
Balkan98,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,1.0,1.0
Mozzart76,2025-07-06 18:45:00,Araruama,America RJ,1.07,6.75
Soccer82,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.01,9.8
Volcano491,2025-07-06 18:45:00,CEAC / Araruama,America RJ,1.0,1.0
Superbet84,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
