ID,vreme,domaci,gosti,1,X,2
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.57,3.6,6.0
Topbet16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.65,3.45,4.9
Volcano678,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.58,3.4,5.5
Planetwin4,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.52,3.74,5.5
Pinbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.85,3.05,4.5
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.57,3.4,5.5
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.55,3.45,5.35
Balkan15,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.63,3.35,5.0
Soccer4,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.65,3.4,4.75
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.8,3.15,4.4
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,3.05,3.9
