ID,vreme,domaci,gosti,1,1-X2,X2-X2
Volcano570,2025-07-08 19:00:00,Drita,Differdange 03,1.67,1.0,1.0
Pinbet7,2025-07-08 19:00:00,Drita,Differdange,1.72,1.0,1.0
Mozzart0,2025-07-08 19:00:00,Drita Gjilan,Differdange,1.55,1.0,2.9
Superbet1,2025-07-08 19:00:00,Drita,Differdange 03,1.56,1.0,1.0
Topbet2,2025-07-08 19:00:00,KF Drita,FC Differdange 03,1.55,21.0,2.65
Balkan0,2025-07-08 19:00:00,KF Drita,FC Differdange 03,1.57,1.0,1.0
Mystake734,2025-07-08 19:00:00,KF Drita, Differdange 03,1.55,1.0,1.0
Soccer0,2025-07-08 19:00:00,Drita,Differdange,1.6,15.1,2.4
Oktagon0,2025-07-08 19:00:00,Drita,Differdange,1.66,16.0,2.28
Betole9,2025-07-08 19:00:00,Drita,Differdange,1.65,16.0,2.27
