ID,vreme,domaci,gosti,ug 0-2,ug 3+
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.22,3.8
Balkan8,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.32,3.1
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,1.27,3.75
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,1.22,3.8
Mystake643,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,1.31,3.15
Volcano411,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,1.41,2.7
Topbet9,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,1.3,3.3
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,1.2,3.78
