ID,vreme,domaci,gosti,1&3+,ne1&3+
Betole9,2025-06-25 14:00:00,Orbit College,Cape Town City,12.0,1.0
Mystake638,2025-06-25 14:00:00,Orbit College ,Cape Town City,1.0,1.0
Volcano410,2025-06-25 14:00:00,Orbit College FC,Cape Town City,1.0,1.0
Balkan11,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,8.45,1.0
Pinbet3,2025-06-25 14:00:00,Orbit College,Cape Town City,1.0,1.0
Topbet12,2025-06-25 14:00:00,Orbit College FC,Cape Town City FC,10.5,1.0
Oktagon9,2025-06-25 14:00:00,Orbit College,Cape Town City,12.25,1.0
Mozzart5,2025-06-25 14:00:00,Orbit College,Cape Town City FC,6.25,1.09
Soccer8,2025-06-25 14:00:00,Orbit College,Cape Town City,7.1,1.0
Planetwin2,2025-06-25 14:00:00,Orbit College,Cape Town City,12.0,1.0
