ID,vreme,domaci,gosti,2,2-1X,1X-1X
Balkan2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,2.5,1.0,1.0
Planetwin0,2025-07-13 22:30:00,Dep.Temuco,D. Concepcion,3.08,9.9,1.48
Betole0,2025-07-13 22:30:00,Deportes Temuco,D. Concepcion,2.22,11.0,1.73
Topbet2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,2.5,11.0,1.7
