ID,vreme,domaci,gosti,1X,2
Mozzart81,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.06,7.25
Balkan116,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.06,6.0
Topbet95,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.07,6.1
Betole126,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.07,6.4
Planetwin37,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.08,6.35
Mystake128,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.11,5.95
Volcano776,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.08,6.4
Superbet111,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.07,6.0
Oktagon128,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.21,3.9
Soccer88,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.03,7.2
