ID,vreme,domaci,gosti,D II 0-1,D II 2+
Volcano286,2025-07-06 13:00:00,IFK Göteborg,IK Sirius FK,1.0,1.0
Topbet71,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.38,3.15
Pinbet78,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Balkan79,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.25,3.6
Superbet101,2025-07-06 13:00:00,IFK Goteborg,Sirius,1.0,1.0
Betole89,2025-07-06 13:00:00,Goteborg,Sirius,1.29,3.3
Mozzart68,2025-07-06 13:00:00,Goteborg,Sirius,1.23,3.7
Mystake84,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Oktagon90,2025-07-06 13:00:00,IFK Goteborg,IK Sirius FK,1.27,3.35
Soccer81,2025-07-06 13:00:00,Goteborg,Sirius,1.31,3.15
