ID,vreme,domaci,gosti,D II 0-1,D II 2+
Planetwin77,2025-07-06 17:00:00,KR Reykjavik,Akureyri,1.62,2.15
Balkan96,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,2.2
Volcano133,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Oktagon127,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.59,2.15
Pinbet98,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Superbet129,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Betole125,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.6,2.15
Topbet93,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.1
Mystake100,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.0,1.0
Soccer106,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.05
Mozzart97,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.41,2.7
