ID,vreme,domaci,gosti,G II 0-1,G II 2+
Soccer135,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,14.6
Oktagon152,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,13.75
Superbet161,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Topbet119,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,22.0
Volcano639,2025-07-06 17:00:00,Riga FC,Daugavpils,1.0,1.0
Betole154,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Pinbet126,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,1.0
Mystake549,2025-07-06 17:00:00,Riga,B Daugavpils,1.0,1.0
Planetwin104,2025-07-06 17:00:00,Riga,Daugavapils,1.0,13.7
Mozzart119,2025-07-06 17:00:00,Riga,BFC Daugavpils,1.05,8.0
Balkan124,2025-07-06 17:00:00,Riga FC,BFC Daugavpils,1.0,11.95
