ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mozzart65,2025-07-06 13:00:00,Goteborg,Sirius,1.23,3.7
Mystake84,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Pinbet76,2025-07-06 13:00:00,Goteborg,Sirius,1.0,1.0
Oktagon86,2025-07-06 13:00:00,IFK Goteborg,IK Sirius FK,1.27,3.35
Volcano285,2025-07-06 13:00:00,IFK Göteborg,IK Sirius FK,1.0,1.0
Superbet97,2025-07-06 13:00:00,IFK Goteborg,Sirius,1.0,1.0
Balkan75,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.25,3.6
Topbet67,2025-07-06 13:00:00,IFK Goteborg,IK Sirius,1.38,3.15
Soccer77,2025-07-06 13:00:00,Goteborg,Sirius,1.31,3.15
Betole85,2025-07-06 13:00:00,Goteborg,Sirius,1.29,3.3
