ID,vreme,domaci,gosti,GG,NG
Maxbet168,2025-06-27 19:45:00,Bohemians,Sligo Rovers,1.8,1.93
Mozzart173,2025-06-27 19:45:00,Bohemians D.,Sligo,1.75,1.95
Topbet150,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.85,1.85
Betole236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,1.81,1.91
Balkan180,2025-06-27 19:45:00,Bohemians Dublin FC,Sligo Rovers FC,1.75,1.95
Oktagon236,2025-06-27 19:45:00,Bohemian,Sligo Rovers,2.05,1.66
Planetwin88,2025-06-27 19:45:00,Bohemians,Sligo,1.79,1.95
Superbet235,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.85,1.87
Mystake493,2025-06-27 19:45:00,Bohemians Dublin,Sligo Rovers,1.88,1.88
Soccer168,2025-06-27 19:45:00,Bohemians,Sligo,1.85,1.85
Volcano103,2025-06-27 19:45:00,Bohemians,Sligo Rovers,1.8,1.92
Pinbet163,2025-06-27 19:45:00,Bohemians,Sligo Rovers,1.83,1.96
