ID,vreme,domaci,gosti,1,1-X2,X2-X2
Pinbet164,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,2.13,1.0,1.0
Oktagon226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,12.0,2.1
Soccer172,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.82,9.8,2.05
Planetwin73,2025-07-12 12:00:00,Shaanxi Union,Suzhou Don.,1.78,12.5,2.17
Superbet240,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.95,1.0,1.0
Volcano27,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,1.0,1.0
Betole226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.77,12.0,2.1
Mystake799,2025-07-12 12:00:00,Shaanxi Union ,Suzhou Dongwu,1.9,1.0,1.0
Balkan207,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,1.0,1.0
Mozzart157,2025-07-12 12:00:00,Shaanxi Union,Suzhou Jinfu,1.8,1.0,2.29
Topbet153,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,12.5,2.05
