ID,vreme,domaci,gosti,1X,2
Pinbet1,2025-07-13 22:30:00,Deportes Temuco,D. Concepcion,1.51,2.3
Balkan2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,1.44,2.5
Betole1,2025-07-13 22:30:00,Deportes Temuco,D. Concepcion,1.53,2.25
Superbet2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,1.48,2.45
Oktagon1,2025-07-13 22:30:00,Deportes Temuco,D. Concepcion,1.54,2.25
Topbet2,2025-07-13 22:30:00,Deportes Temuco,Deportes Concepcion,1.48,2.5
Planetwin0,2025-07-13 22:30:00,Dep.Temuco,D. Concepcion,1.32,3.08
