ID,vreme,domaci,gosti,1,X,2
Pinbet164,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,2.13,3.15,3.3
Oktagon226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,3.3,4.1
Soccer172,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.82,3.45,4.1
Planetwin73,2025-07-12 12:00:00,Shaanxi Union,Suzhou Don.,1.78,3.4,4.52
Superbet240,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.95,3.35,3.7
Volcano27,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.78,3.3,4.1
Betole226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.77,3.3,4.1
Mystake799,2025-07-12 12:00:00,Shaanxi Union ,Suzhou Dongwu,1.9,3.3,3.65
Balkan207,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,3.25,3.6
Mozzart157,2025-07-12 12:00:00,Shaanxi Union,Suzhou Jinfu,1.8,3.45,4.2
Topbet153,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.9,3.35,3.5
