ID,vreme,domaci,gosti,1,X,2
Topbet2,2025-07-06 00:30:00,DC United,Atlanta United FC,2.4,3.5,2.81
Oktagon3,2025-07-06 00:30:00,DC United,Atlanta Utd,2.3,3.45,2.7
Planetwin3,2025-07-06 00:30:00,DC United,Atlanta Utd,2.37,3.57,2.88
Betole2,2025-07-06 00:30:00,DC United,Atlanta Utd,2.35,3.5,2.8
Pinbet3,2025-07-06 00:30:00,DC United,Atlanta Utd,2.24,3.7,3.0
Balkan3,2025-07-06 00:30:00,DC United,Atlanta United FC,2.45,3.4,2.75
Soccer2,2025-07-06 00:30:00,DC United,Atlanta Utd,2.45,3.6,2.65
Volcano613,2025-07-06 00:30:00,DC Utd.,Atlanta Utd.,2.3,3.45,2.7
Mozzart2,2025-07-06 00:30:00,D.C. United,Atlanta United,2.55,3.25,2.6
Superbet6,2025-07-06 00:30:00,DC United,Atlanta United,2.37,3.55,2.87
Mystake246,2025-07-06 00:30:00,DC United,Atlanta United,2.45,3.5,2.75
