ID,vreme,domaci,gosti,I 1,I X2
Soccer70,2025-07-09 19:30:00,Flint,Buckley,5.25,1.0
Oktagon74,2025-07-09 19:30:00,Flint,Buckley,1.76,1.89
Volcano56,2025-07-09 19:30:00,Flint,Buckley T.,1.0,1.0
Betole72,2025-07-09 19:30:00,Flint,Buckley,1.77,1.88
