ID,vreme,domaci,gosti,GG,NG
Mozzart0,2025-07-05 14:30:00,Melhus,Aalesund II,2.05,1.62
Topbet2,2025-07-05 14:30:00,Melhus,Aalesund FK 2,1.0,1.0
Planetwin1,2025-07-05 14:30:00,Melhus,Aalesund (2),1.71,2.03
Oktagon1,2025-07-05 14:30:00,Melhus,Aalesund 2,1.66,1.99
Balkan4,2025-07-05 14:30:00,Melhus,Aalesund FK 2,1.0,1.0
Betole4,2025-07-05 14:30:00,Melhus,Aalesund 2,1.67,1.97
Soccer1,2025-07-05 14:30:00,Melhus,Aalesund 2,1.9,1.8
Superbet2,2025-07-05 14:30:00,Melhus,Aalesund 2,1.72,2.0
Volcano509,2025-07-05 14:30:00,Melhus,Aalesund 2,1.66,1.99
Pinbet4,2025-07-05 14:30:00,Melhus,Aalesund 2,1.59,2.15
