ID,vreme,domaci,gosti,W1,W2
Oktagon55,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense,2.35,1.52
Mozzart38,2025-06-25 20:00:00,Mamelodi,Fluminense,2.5,1.63
Topbet42,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense FC RJ,2.24,1.41
Superbet64,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense,2.52,1.51
Planetwin6,2025-06-25 20:00:00,Mamelodi,Fluminense,2.42,1.55
Betole55,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense,2.35,1.52
Soccer42,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense,2.58,1.5
Mystake721,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense RJ,2.59,1.53
Balkan47,2025-06-25 20:00:00,Mamelodi Sundowns,Fluminense FC RJ,2.45,1.55
