ID,vreme,domaci,gosti,W1,W2
Pinbet164,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.53,2.29
Oktagon226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.3,3.05
Soccer172,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.29,2.91
Planetwin73,2025-07-12 12:00:00,Shaanxi Union,Suzhou Don.,1.31,3.09
Superbet240,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.4,2.62
Volcano27,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.3,3.05
Betole226,2025-07-12 12:00:00,Shaanxi Union,Suzhou Dongwu,1.3,3.03
Mystake799,2025-07-12 12:00:00,Shaanxi Union ,Suzhou Dongwu,1.4,2.59
Balkan207,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.0,1.0
Mozzart157,2025-07-12 12:00:00,Shaanxi Union,Suzhou Jinfu,1.3,3.0
Topbet153,2025-07-12 12:00:00,Shaanxi Union FC,Suzhou Dongwu,1.0,1.0
