ID,vreme,domaci,gosti,G II 0-1,G II 2+
Soccer55,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.58,2.17
Balkan63,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.6,2.3
Betole59,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.57,2.2
Mozzart48,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.41,2.7
Planetwin28,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.59,2.2
Oktagon59,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.57,2.18
Superbet62,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.0,1.0
Pinbet56,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.0,1.0
Mystake120,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.0,1.0
Topbet52,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.6,2.2
